sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058
K,55,36217.0,37122.0,37488.0,36794.0,37269.0,37111.0,35820.0,36190.0,34757.0,33596.0,33068.0,33748.0,34039.0,34610.0,34511.0,34987.0,34759.0,35353.0,35651.0,36218.0,36907.0,38109.0,38372.0,38886.0,38087.0,37268.0,36577.0,36013.0,35572.0,35411.0,34035.0,33056.0,32782.0,32624.0,31315.0,30859.0
K,56,35480.0,36139.0,37019.0,37381.0,36693.0,37176.0,37007.0,35743.0,36109.0,34677.0,33527.0,33002.0,33679.0,33989.0,34558.0,34464.0,34939.0,34720.0,35309.0,35621.0,36178.0,36872.0,38075.0,38352.0,38862.0,38060.0,37240.0,36563.0,36001.0,35557.0,35405.0,34022.0,33045.0,32775.0,32610.0,31306.0
K,57,34879.0,35407.0,36051.0,36934.0,37289.0,36607.0,37066.0,36904.0,35667.0,36033.0,34618.0,33462.0,32934.0,33620.0,33938.0,34503.0,34430.0,34902.0,34684.0,35280.0,35585.0,36151.0,36838.0,38051.0,38331.0,38847.0,38040.0,37223.0,36546.0,35985.0,35550.0,35394.0,34010.0,33031.0,32764.0,32602.0
K,58,34275.0,34786.0,35317.0,35973.0,36847.0,37177.0,36523.0,36991.0,36819.0,35603.0,35958.0,34543.0,33395.0,32869.0,33572.0,33896.0,34459.0,34396.0,34867.0,34646.0,35250.0,35557.0,36121.0,36818.0,38028.0,38314.0,38825.0,38022.0,37208.0,36527.0,35974.0,35544.0,35381.0,33999.0,33024.0,32758.0
K,59,33194.0,34196.0,34697.0,35228.0,35877.0,36767.0,37083.0,36437.0,36900.0,36760.0,35535.0,35886.0,34478.0,33343.0,32823.0,33527.0,33855.0,34417.0,34356.0,34827.0,34614.0,35229.0,35520.0,36101.0,36790.0,38010.0,38301.0,38804.0,38004.0,37196.0,36516.0,35969.0,35536.0,35368.0,33988.0,33010.0
K,60,32018.0,33069.0,34042.0,34530.0,35081.0,35744.0,36609.0,36928.0,36294.0,36734.0,36632.0,35408.0,35772.0,34404.0,33264.0,32750.0,33448.0,33797.0,34356.0,34296.0,34775.0,34565.0,35183.0,35479.0,36067.0,36756.0,37982.0,38273.0,38784.0,37982.0,37180.0,36493.0,35946.0,35518.0,35355.0,33975.0
K,61,31506.0,31911.0,32921.0,33913.0,34378.0,34943.0,35596.0,36472.0,36798.0,36159.0,36605.0,36524.0,35295.0,35677.0,34306.0,33177.0,32678.0,33384.0,33738.0,34289.0,34254.0,34731.0,34514.0,35133.0,35442.0,36031.0,36734.0,37951.0,38244.0,38761.0,37962.0,37166.0,36472.0,35918.0,35499.0,35336.0
K,62,31028.0,31375.0,31771.0,32781.0,33790.0,34228.0,34804.0,35480.0,36362.0,36659.0,36052.0,36490.0,36437.0,35207.0,35583.0,34224.0,33115.0,32622.0,33322.0,33679.0,34237.0,34207.0,34690.0,34475.0,35085.0,35412.0,35998.0,36716.0,37933.0,38229.0,38736.0,37943.0,37142.0,36458.0,35897.0,35480.0
K,63,30842.0,30908.0,31238.0,31645.0,32649.0,33639.0,34067.0,34669.0,35351.0,36249.0,36526.0,35907.0,36389.0,36341.0,35106.0,35501.0,34154.0,33052.0,32562.0,33266.0,33634.0,34192.0,34161.0,34643.0,34429.0,35057.0,35392.0,35979.0,36690.0,37913.0,38200.0,38722.0,37922.0,37125.0,36440.0,35883.0
K,64,30683.0,30712.0,30770.0,31098.0,31506.0,32498.0,33502.0,33939.0,34544.0,35228.0,36141.0,36393.0,35787.0,36281.0,36260.0,35031.0,35429.0,34081.0,32992.0,32522.0,33204.0,33595.0,34146.0,34125.0,34618.0,34402.0,35024.0,35368.0,35954.0,36664.0,37898.0,38182.0,38708.0,37904.0,37105.0,36415.0
K,65,29874.0,30482.0,30475.0,30562.0,30855.0,31278.0,32252.0,33287.0,33711.0,34322.0,35000.0,35933.0,36185.0,35635.0,36147.0,36117.0,34912.0,35302.0,33965.0,32909.0,32440.0,33125.0,33531.0,34072.0,34068.0,34567.0,34357.0,34989.0,35340.0,35920.0,36629.0,37848.0,38142.0,38667.0,37875.0,37075.0
K,66,30085.0,29682.0,30266.0,30256.0,30338.0,30615.0,31036.0,32018.0,33065.0,33494.0,34120.0,34792.0,35745.0,36014.0,35483.0,35993.0,36008.0,34800.0,35186.0,33875.0,32814.0,32372.0,33050.0,33477.0,34006.0,34011.0,34528.0,34305.0,34953.0,35305.0,35898.0,36591.0,37816.0,38111.0,38634.0,37844.0
K,67,29117.0,29865.0,29445.0,30064.0,30034.0,30128.0,30384.0,30812.0,31802.0,32830.0,33298.0,33904.0,34601.0,35578.0,35864.0,35341.0,35857.0,35875.0,34689.0,35094.0,33777.0,32735.0,32311.0,32977.0,33416.0,33957.0,33968.0,34485.0,34264.0,34927.0,35276.0,35869.0,36561.0,37790.0,38081.0,38615.0
