sex,alder,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053
M,11,26100.0,25758.0,25440.0,25177.0,24932.0,24756.0,24085.0,24169.0,24143.0,24047.0,23943.0,23744.0,23624.0,25079.0,27112.0,28693.0
M,12,26583.0,26100.0,25756.0,25440.0,25175.0,24932.0,24755.0,24085.0,24168.0,24142.0,24046.0,23943.0,23744.0,23624.0,25079.0,27112.0
M,13,26612.0,26582.0,26100.0,25754.0,25440.0,25175.0,24931.0,24755.0,24084.0,24168.0,24141.0,24046.0,23943.0,23743.0,23624.0,25078.0
M,14,26985.0,26611.0,26580.0,26100.0,25752.0,25440.0,25175.0,24931.0,24755.0,24084.0,24168.0,24141.0,24046.0,23942.0,23743.0,23624.0
M,15,26637.0,26983.0,26610.0,26578.0,26097.0,25748.0,25439.0,25171.0,24929.0,24753.0,24084.0,24168.0,24141.0,24043.0,23941.0,23743.0
M,16,29327.0,26629.0,26975.0,26605.0,26574.0,26095.0,25745.0,25437.0,25170.0,24927.0,24753.0,24083.0,24167.0,24140.0,24042.0,23941.0
M,17,27907.0,29324.0,26625.0,26971.0,26604.0,26573.0,26093.0,25745.0,25434.0,25170.0,24925.0,24753.0,24083.0,24167.0,24140.0,24042.0
M,18,28961.0,27903.0,29318.0,26620.0,26970.0,26603.0,26570.0,26092.0,25744.0,25432.0,25168.0,24923.0,24753.0,24082.0,24167.0,24139.0
M,19,29424.0,28961.0,27898.0,29315.0,26617.0,26967.0,26603.0,26570.0,26090.0,25743.0,25432.0,25167.0,24922.0,24753.0,24082.0,24167.0
M,20,30288.0,29420.0,28958.0,27893.0,29312.0,26615.0,26965.0,26602.0,26567.0,26089.0,25741.0,25431.0,25166.0,24921.0,24753.0,24081.0
M,21,31705.0,30285.0,29416.0,28958.0,27890.0,29311.0,26612.0,26965.0,26601.0,26566.0,26088.0,25739.0,25431.0,25166.0,24920.0,24753.0
M,22,31689.0,31705.0,30283.0,29412.0,28953.0,27887.0,29309.0,26612.0,26963.0,26599.0,26564.0,26087.0,25738.0,25430.0,25163.0,24920.0
M,23,31816.0,31685.0,31701.0,30278.0,29405.0,28951.0,27885.0,29305.0,26607.0,26961.0,26599.0,26563.0,26087.0,25735.0,25430.0,25162.0
M,24,31760.0,31814.0,31680.0,31699.0,30275.0,29401.0,28948.0,27880.0,29304.0,26606.0,26960.0,26598.0,26563.0,26087.0,25733.0,25430.0
M,25,32972.0,31756.0,31812.0,31674.0,31695.0,30270.0,29399.0,28943.0,27878.0,29301.0,26605.0,26959.0,26595.0,26562.0,26087.0,25733.0
M,26,33395.0,32966.0,31750.0,31812.0,31670.0,31689.0,30266.0,29395.0,28939.0,27876.0,29300.0,26605.0,26959.0,26593.0,26562.0,26087.0
M,27,34151.0,33386.0,32960.0,31747.0,31808.0,31664.0,31684.0,30263.0,29392.0,28932.0,27870.0,29297.0,26604.0,26959.0,26592.0,26562.0
M,28,34868.0,34143.0,33380.0,32956.0,31742.0,31804.0,31660.0,31679.0,30258.0,29391.0,28925.0,27869.0,29296.0,26603.0,26957.0,26590.0
M,29,34631.0,34863.0,34137.0,33376.0,32950.0,31731.0,31799.0,31656.0,31675.0,30256.0,29388.0,28925.0,27867.0,29294.0,26601.0,26957.0
M,30,33604.0,34625.0,34854.0,34134.0,33371.0,32946.0,31725.0,31797.0,31652.0,31669.0,30254.0,29388.0,28922.0,27864.0,29294.0,26601.0
M,31,33745.0,33596.0,34620.0,34844.0,34128.0,33367.0,32939.0,31723.0,31793.0,31647.0,31667.0,30253.0,29388.0,28921.0,27860.0,29293.0
M,32,32869.0,33741.0,33586.0,34615.0,34839.0,34123.0,33363.0,32932.0,31719.0,31791.0,31646.0,31665.0,30251.0,29386.0,28920.0,27859.0
M,33,33205.0,32858.0,33737.0,33576.0,34611.0,34837.0,34120.0,33357.0,32930.0,31716.0,31789.0,31642.0,31662.0,30249.0,29385.0,28918.0
M,34,32751.0,33197.0,32851.0,33736.0,33574.0,34604.0,34831.0,34119.0,33354.0,32927.0,31716.0,31785.0,31640.0,31659.0,30247.0,29382.0
M,35,32212.0,32747.0,33187.0,32843.0,33728.0,33566.0,34597.0,34825.0,34116.0,33351.0,32927.0,31713.0,31781.0,31636.0,31658.0,30245.0
M,36,33261.0,32202.0,32741.0,33184.0,32841.0,33720.0,33558.0,34585.0,34818.0,34114.0,33346.0,32924.0,31713.0,31779.0,31635.0,31656.0
M,37,35087.0,33253.0,32193.0,32734.0,33176.0,32832.0,33716.0,33553.0,34581.0,34816.0,34111.0,33343.0,32922.0,31711.0,31778.0,31634.0
M,38,35382.0,35073.0,33237.0,32185.0,32726.0,33172.0,32828.0,33713.0,33549.0,34577.0,34809.0,34110.0,33341.0,32919.0,31708.0,31776.0
M,39,35182.0,35372.0,35066.0,33228.0,32182.0,32720.0,33166.0,32822.0,33707.0,33545.0,34574.0,34806.0,34108.0,33337.0,32918.0,31702.0
M,40,36366.0,35170.0,35357.0,35058.0,33219.0,32175.0,32714.0,33157.0,32821.0,33705.0,33542.0,34568.0,34806.0,34106.0,33334.0,32912.0
M,41,37413.0,36354.0,35162.0,35350.0,35052.0,33210.0,32172.0,32710.0,33150.0,32816.0,33704.0,33536.0,34561.0,34803.0,34100.0,33331.0
M,42,37718.0,37396.0,36339.0,35150.0,35335.0,35041.0,33201.0,32165.0,32707.0,33143.0,32812.0,33696.0,33532.0,34556.0,34800.0,34098.0
M,43,37817.0,37704.0,37384.0,36328.0,35142.0,35330.0,35038.0,33194.0,32158.0,32699.0,33137.0,32807.0,33690.0,33527.0,34554.0,34799.0
M,44,38363.0,37804.0,37695.0,37372.0,36317.0,35129.0,35322.0,35030.0,33190.0,32148.0,32697.0,33135.0,32805.0,33688.0,33524.0,34552.0
M,45,39537.0,38346.0,37780.0,37678.0,37365.0,36297.0,35124.0,35312.0,35022.0,33182.0,32144.0,32691.0,33130.0,32804.0,33685.0,33520.0
M,46,39987.0,39512.0,38323.0,37764.0,37661.0,37357.0,36278.0,35114.0,35296.0,35009.0,33175.0,32137.0,32682.0,33127.0,32799.0,33679.0
M,47,40391.0,39969.0,39496.0,38303.0,37748.0,37644.0,37341.0,36268.0,35099.0,35281.0,35004.0,33171.0,32137.0,32673.0,33125.0,32793.0
M,48,39947.0,40367.0,39944.0,39487.0,38289.0,37739.0,37628.0,37326.0,36261.0,35087.0,35275.0,34994.0,33166.0,32133.0,32664.0,33123.0
