sex,alder,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058
K,109,,,,,,,,,,,,,,,,,,,,,1.0
M,0,23771.0,23706.0,25202.0,26986.0,28681.0,30324.0,31831.0,31571.0,30786.0,30582.0,30026.0,29660.0,29021.0,28841.0,28321.0,28034.0,27711.0,27446.0,27084.0,26943.0,26462.0
M,1,23965.0,23767.0,23701.0,25198.0,26984.0,28678.0,30321.0,31826.0,31569.0,30783.0,30580.0,30023.0,29660.0,29021.0,28836.0,28316.0,28033.0,27709.0,27443.0,27081.0,26941.0
M,2,24060.0,23964.0,23759.0,23697.0,25194.0,26978.0,28673.0,30315.0,31823.0,31566.0,30782.0,30575.0,30021.0,29660.0,29019.0,28833.0,28316.0,28033.0,27707.0,27443.0,27079.0
M,3,24151.0,24057.0,23961.0,23759.0,23686.0,25189.0,26975.0,28668.0,30311.0,31822.0,31562.0,30779.0,30574.0,30018.0,29657.0,29017.0,28832.0,28315.0,28030.0,27706.0,27442.0
M,4,24172.0,24148.0,24055.0,23958.0,23758.0,23685.0,25186.0,26969.0,28665.0,30308.0,31818.0,31558.0,30779.0,30574.0,30017.0,29656.0,29017.0,28830.0,28314.0,28030.0,27706.0
M,5,24089.0,24172.0,24148.0,24054.0,23957.0,23758.0,23685.0,25186.0,26969.0,28664.0,30308.0,31818.0,31557.0,30779.0,30574.0,30016.0,29656.0,29017.0,28829.0,28314.0,28029.0
M,6,24759.0,24087.0,24171.0,24148.0,24054.0,23957.0,23758.0,23685.0,25186.0,26968.0,28663.0,30308.0,31817.0,31557.0,30779.0,30574.0,30016.0,29656.0,29017.0,28828.0,28313.0
M,7,24937.0,24759.0,24086.0,24171.0,24148.0,24054.0,23957.0,23757.0,23685.0,25186.0,26968.0,28663.0,30308.0,31816.0,31557.0,30778.0,30574.0,30015.0,29656.0,29017.0,28828.0
M,8,25179.0,24937.0,24758.0,24085.0,24171.0,24148.0,24053.0,23957.0,23757.0,23685.0,25186.0,26967.0,28663.0,30308.0,31815.0,31557.0,30778.0,30573.0,30015.0,29656.0,29017.0
M,9,25442.0,25179.0,24937.0,24758.0,24085.0,24171.0,24147.0,24053.0,23957.0,23757.0,23685.0,25186.0,26967.0,28663.0,30308.0,31815.0,31557.0,30778.0,30573.0,30015.0,29655.0
M,10,25759.0,25442.0,25179.0,24936.0,24758.0,24085.0,24169.0,24147.0,24053.0,23957.0,23756.0,23685.0,25186.0,26967.0,28663.0,30308.0,31815.0,31557.0,30778.0,30573.0,30014.0
M,11,26100.0,25758.0,25440.0,25178.0,24935.0,24757.0,24085.0,24169.0,24146.0,24053.0,23957.0,23756.0,23685.0,25186.0,26966.0,28663.0,30308.0,31814.0,31557.0,30778.0,30572.0
M,12,26583.0,26098.0,25757.0,25440.0,25178.0,24935.0,24757.0,24085.0,24168.0,24145.0,24052.0,23957.0,23756.0,23684.0,25185.0,26966.0,28662.0,30308.0,31814.0,31557.0,30778.0
M,13,26612.0,26582.0,26098.0,25757.0,25440.0,25178.0,24935.0,24757.0,24085.0,24168.0,24144.0,24052.0,23957.0,23756.0,23684.0,25185.0,26966.0,28662.0,30308.0,31814.0,31556.0
M,14,26985.0,26611.0,26582.0,26098.0,25755.0,25438.0,25176.0,24934.0,24756.0,24085.0,24168.0,24144.0,24052.0,23957.0,23756.0,23684.0,25185.0,26966.0,28662.0,30308.0,31813.0
M,15,26637.0,26983.0,26609.0,26577.0,26095.0,25751.0,25435.0,25175.0,24932.0,24755.0,24084.0,24168.0,24143.0,24052.0,23957.0,23754.0,23683.0,25185.0,26966.0,28662.0,30308.0
M,16,29327.0,26631.0,26983.0,26603.0,26575.0,26089.0,25749.0,25433.0,25173.0,24931.0,24753.0,24083.0,24166.0,24143.0,24052.0,23956.0,23752.0,23682.0,25184.0,26966.0,28662.0
