sex,alder,pop_2023,pop_2114,pop_2115,pop_2116,pop_2117,pop_2118,pop_2119,pop_2120,pop_2121,pop_2122,pop_2123
M,37,21683.0,21396.0,21238.0,21068.0,20718.0,20861.0,20678.0,20323.0,20036.0,19926.0,19707.0
M,38,22049.0,21720.0,21434.0,21268.0,21106.0,20745.0,20894.0,20712.0,20347.0,20075.0,19960.0
M,39,22147.0,22075.0,21764.0,21487.0,21294.0,21144.0,20774.0,20929.0,20743.0,20377.0,20106.0
M,40,22194.0,22184.0,22114.0,21793.0,21516.0,21327.0,21171.0,20805.0,20959.0,20763.0,20392.0
M,41,22473.0,22226.0,22212.0,22144.0,21816.0,21553.0,21356.0,21204.0,20835.0,20988.0,20794.0
M,42,22624.0,22517.0,22255.0,22240.0,22178.0,21854.0,21586.0,21382.0,21233.0,20869.0,21007.0
M,43,22813.0,22662.0,22548.0,22288.0,22275.0,22204.0,21884.0,21613.0,21415.0,21262.0,20910.0
M,44,23189.0,22850.0,22696.0,22590.0,22335.0,22307.0,22236.0,21921.0,21636.0,21450.0,21280.0
M,45,23045.0,23239.0,22878.0,22728.0,22610.0,22378.0,22337.0,22263.0,21953.0,21667.0,21472.0
M,46,23273.0,23079.0,23277.0,22917.0,22752.0,22637.0,22410.0,22371.0,22287.0,21978.0,21696.0
M,47,23441.0,23305.0,23110.0,23307.0,22946.0,22775.0,22671.0,22449.0,22404.0,22321.0,22010.0
M,48,23735.0,23473.0,23339.0,23140.0,23338.0,22975.0,22809.0,22700.0,22475.0,22431.0,22355.0
M,49,23901.0,23769.0,23502.0,23372.0,23173.0,23388.0,23014.0,22838.0,22733.0,22505.0,22452.0
M,50,24282.0,23938.0,23799.0,23536.0,23409.0,23205.0,23425.0,23037.0,22867.0,22759.0,22527.0
M,51,24163.0,24320.0,23969.0,23839.0,23572.0,23428.0,23239.0,23455.0,23060.0,22896.0,22779.0
M,52,24381.0,24195.0,24351.0,24008.0,23871.0,23606.0,23457.0,23268.0,23475.0,23089.0,22926.0
M,53,24588.0,24424.0,24229.0,24383.0,24043.0,23903.0,23629.0,23482.0,23299.0,23504.0,23110.0
M,54,24936.0,24620.0,24466.0,24263.0,24414.0,24074.0,23934.0,23659.0,23522.0,23335.0,23523.0
M,55,25261.0,24976.0,24647.0,24512.0,24294.0,24454.0,24105.0,23956.0,23684.0,23544.0,23360.0
M,56,25461.0,25293.0,25004.0,24682.0,24552.0,24320.0,24478.0,24131.0,23976.0,23713.0,23573.0
M,57,25516.0,25506.0,25329.0,25037.0,24722.0,24583.0,24340.0,24510.0,24160.0,24001.0,23748.0
M,58,25943.0,25548.0,25530.0,25364.0,25064.0,24749.0,24617.0,24370.0,24539.0,24181.0,24032.0
M,59,26101.0,25977.0,25587.0,25568.0,25403.0,25096.0,24777.0,24636.0,24403.0,24566.0,24203.0
M,60,26276.0,26120.0,26017.0,25616.0,25595.0,25420.0,25125.0,24802.0,24656.0,24432.0,24587.0
M,61,26626.0,26298.0,26153.0,26037.0,25636.0,25622.0,25439.0,25161.0,24825.0,24677.0,24453.0
M,62,27074.0,26662.0,26328.0,26188.0,26067.0,25659.0,25658.0,25465.0,25194.0,24853.0,24695.0
M,63,27116.0,27110.0,26688.0,26348.0,26211.0,26096.0,25690.0,25684.0,25480.0,25213.0,24881.0
M,64,27736.0,27147.0,27126.0,26713.0,26378.0,26231.0,26113.0,25712.0,25708.0,25501.0,25237.0
M,65,27869.0,27651.0,27039.0,27028.0,26609.0,26286.0,26134.0,26007.0,25611.0,25606.0,25421.0
M,66,27978.0,27752.0,27557.0,26953.0,26951.0,26506.0,26196.0,26061.0,25908.0,25492.0,25515.0
M,67,27997.0,27879.0,27647.0,27439.0,26854.0,26862.0,26399.0,26098.0,25954.0,25802.0,25416.0
M,68,28332.0,27901.0,27784.0,27550.0,27324.0,26780.0,26774.0,26294.0,26020.0,25863.0,25711.0
M,69,28466.0,28234.0,27768.0,27692.0,27453.0,27231.0,26682.0,26641.0,26184.0,25920.0,25766.0
M,70,28480.0,28226.0,27997.0,27546.0,27446.0,27232.0,27034.0,26473.0,26424.0,25958.0,25700.0
M,71,28583.0,28254.0,27997.0,27776.0,27308.0,27210.0,27003.0,26796.0,26233.0,26196.0,25758.0
M,72,28265.0,28353.0,28009.0,27766.0,27560.0,27064.0,27012.0,26734.0,26601.0,25995.0,25981.0
M,73,28214.0,28010.0,28116.0,27775.0,27521.0,27338.0,26834.0,26791.0,26504.0,26396.0,25768.0
M,74,28008.0,27991.0,27796.0,27847.0,27533.0,27266.0,27116.0,26594.0,26590.0,26267.0,26181.0
M,75,27463.0,27551.0,27483.0,27320.0,27364.0,27046.0,26766.0,26630.0,26134.0,26133.0,25801.0
M,76,27133.0,26985.0,27047.0,27025.0,26831.0,26845.0,26582.0,26294.0,26159.0,25673.0,25684.0
M,77,26930.0,26688.0,26476.0,26535.0,26534.0,26347.0,26332.0,26101.0,25788.0,25696.0,25237.0
M,78,26457.0,26478.0,26233.0,25959.0,26045.0,26081.0,25889.0,25845.0,25631.0,25328.0,25207.0
M,79,26231.0,26035.0,25991.0,25773.0,25488.0,25612.0,25603.0,25434.0,25368.0,25200.0,24906.0
M,80,25349.0,25303.0,25079.0,25031.0,24778.0,24541.0,24703.0,24676.0,24540.0,24419.0,24311.0
M,81,24573.0,24376.0,24391.0,24158.0,24144.0,23887.0,23684.0,23801.0,23782.0,23625.0,23589.0
M,82,23899.0,23688.0,23512.0,23478.0,23235.0,23321.0,23025.0,22843.0,22987.0,22918.0,22768.0
M,83,23399.0,23014.0,22847.0,22648.0,22629.0,22396.0,22466.0,22179.0,22023.0,22177.0,22078.0
M,84,22674.0,22545.0,22167.0,22043.0,21847.0,21798.0,21527.0,21694.0,21402.0,21249.0,21416.0
M,85,21125.0,21112.0,20954.0,20541.0,20516.0,20251.0,20218.0,20039.0,20160.0,19826.0,19751.0
M,86,19690.0,19610.0,19610.0,19454.0,19072.0,18992.0,18824.0,18763.0,18583.0,18713.0,18437.0
M,87,18516.0,18320.0,18284.0,18237.0,18128.0,17676.0,17633.0,17517.0,17412.0,17312.0,17284.0
M,88,17456.0,17183.0,17057.0,16970.0,16966.0,16892.0,16431.0,16397.0,16333.0,16154.0,16014.0
M,89,16347.0,16157.0,15926.0,15866.0,15738.0,15793.0,15700.0,15294.0,15265.0,15164.0,15019.0
M,90,16347.0,16350.0,16163.0,15928.0,15866.0,15741.0,15793.0,15707.0,15303.0,15268.0,15168.0
M,91,13064.0,12278.0,12320.0,12187.0,12014.0,11821.0,11887.0,11862.0,11775.0,11471.0,11446.0
M,92,9375.0,9760.0,9207.0,9270.0,9170.0,8943.0,8843.0,8902.0,8826.0,8801.0,8584.0
M,93,7381.0,7049.0,7363.0,6875.0,6963.0,6947.0,6736.0,6659.0,6744.0,6651.0,6646.0
M,94,5592.0,5492.0,5228.0,5490.0,5145.0,5199.0,5182.0,5017.0,5007.0,5033.0,4961.0
M,95,4338.0,4184.0,4116.0,3879.0,4106.0,3823.0,3892.0,3911.0,3793.0,3771.0,3813.0
M,96,3451.0,3291.0,3140.0,3092.0,2916.0,3111.0,2840.0,2934.0,2931.0,2845.0,2849.0
M,97,2561.0,2581.0,2451.0,2336.0,2319.0,2203.0,2335.0,2116.0,2186.0,2169.0,2121.0
M,98,1927.0,1917.0,1922.0,1835.0,1736.0,1743.0,1635.0,1777.0,1581.0,1627.0,1649.0
M,99,1448.0,1433.0,1420.0,1470.0,1364.0,1311.0,1320.0,1205.0,1337.0,1165.0,1222.0
M,100,1044.0,1100.0,1075.0,1073.0,1096.0,1029.0,998.0,981.0,886.0,1000.0,862.0
M,101,395.0,395.0,410.0,384.0,379.0,385.0,351.0,357.0,365.0,328.0,356.0
M,102,149.0,145.0,128.0,151.0,135.0,137.0,133.0,116.0,139.0,129.0,122.0
M,103,63.0,70.0,54.0,49.0,63.0,55.0,49.0,56.0,43.0,49.0,49.0
M,104,26.0,16.0,22.0,22.0,15.0,15.0,20.0,17.0,19.0,16.0,16.0
M,105,6.0,13.0,3.0,6.0,9.0,5.0,8.0,9.0,7.0,6.0,6.0
M,106,6.0,1.0,4.0,,5.0,2.0,1.0,5.0,4.0,2.0,3.0
M,107,1.0,1.0,1.0,1.0,,3.0,2.0,1.0,5.0,2.0,
M,108,,,1.0,,,,1.0,1.0,,,1.0
M,109,,,,,,,,1.0,,,
